2026-02-04 22:48:01,866 | INFO | ======== Training setup ========
2026-02-04 22:48:01,866 | INFO | output_dir: .
2026-02-04 22:48:01,867 | INFO | num_epochs: 50
2026-02-04 22:48:01,867 | INFO | grad_accum_steps (from accelerate): 1
2026-02-04 22:48:01,867 | INFO | ================================
2026-02-04 23:03:52,006 | INFO | ======== Training setup ========
2026-02-04 23:03:52,006 | INFO | output_dir: .
2026-02-04 23:03:52,007 | INFO | num_epochs: 50
2026-02-04 23:03:52,007 | INFO | grad_accum_steps (from accelerate): 1
2026-02-04 23:03:52,007 | INFO | ================================
2026-02-05 11:17:26,863 | INFO | ======== Training setup ========
2026-02-05 11:17:26,864 | INFO | output_dir: .
2026-02-05 11:17:26,864 | INFO | num_epochs: 50
2026-02-05 11:17:26,864 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 11:17:26,864 | INFO | ================================
2026-02-05 12:15:12,768 | INFO | ======== Training setup ========
2026-02-05 12:15:12,768 | INFO | output_dir: .
2026-02-05 12:15:12,769 | INFO | num_epochs: 50
2026-02-05 12:15:12,769 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 12:15:12,769 | INFO | ================================
2026-02-05 12:22:37,558 | INFO | ======== Training setup ========
2026-02-05 12:22:37,559 | INFO | output_dir: .
2026-02-05 12:22:37,559 | INFO | num_epochs: 50
2026-02-05 12:22:37,559 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 12:22:37,559 | INFO | ================================
2026-02-05 14:34:22,453 | INFO | ======== Training setup ========
2026-02-05 14:34:22,454 | INFO | output_dir: .
2026-02-05 14:34:22,454 | INFO | num_epochs: 50
2026-02-05 14:34:22,455 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 14:34:22,455 | INFO | ================================
2026-02-05 15:07:17,270 | INFO | ======== Training setup ========
2026-02-05 15:07:17,270 | INFO | output_dir: .
2026-02-05 15:07:17,271 | INFO | num_epochs: 50
2026-02-05 15:07:17,271 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 15:07:17,271 | INFO | ================================
2026-02-05 15:15:25,521 | INFO | ======== Training setup ========
2026-02-05 15:15:25,521 | INFO | output_dir: .
2026-02-05 15:15:25,522 | INFO | num_epochs: 50
2026-02-05 15:15:25,522 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 15:15:25,522 | INFO | ================================
2026-02-05 15:31:37,607 | INFO | ======== Training setup ========
2026-02-05 15:31:37,608 | INFO | output_dir: .
2026-02-05 15:31:37,608 | INFO | num_epochs: 50
2026-02-05 15:31:37,608 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 15:31:37,608 | INFO | ================================
2026-02-05 15:40:06,761 | INFO | ======== Training setup ========
2026-02-05 15:40:06,761 | INFO | output_dir: .
2026-02-05 15:40:06,761 | INFO | num_epochs: 50
2026-02-05 15:40:06,761 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 15:40:06,761 | INFO | ================================
2026-02-05 15:47:47,044 | INFO | ======== Training setup ========
2026-02-05 15:47:47,044 | INFO | output_dir: .
2026-02-05 15:47:47,044 | INFO | num_epochs: 50
2026-02-05 15:47:47,045 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 15:47:47,045 | INFO | ================================
2026-02-05 15:53:47,031 | INFO | ======== Training setup ========
2026-02-05 15:53:47,031 | INFO | output_dir: .
2026-02-05 15:53:47,031 | INFO | num_epochs: 50
2026-02-05 15:53:47,031 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 15:53:47,031 | INFO | ================================
2026-02-05 16:05:36,355 | INFO | ======== Training setup ========
2026-02-05 16:05:36,356 | INFO | output_dir: .
2026-02-05 16:05:36,356 | INFO | num_epochs: 50
2026-02-05 16:05:36,356 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 16:05:36,356 | INFO | ================================
2026-02-05 16:26:15,105 | INFO | ======== Training setup ========
2026-02-05 16:26:15,105 | INFO | output_dir: .
2026-02-05 16:26:15,114 | INFO | num_epochs: 50
2026-02-05 16:26:15,114 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 16:26:15,114 | INFO | ================================
2026-02-05 16:50:36,313 | INFO | ======== Training setup ========
2026-02-05 16:50:36,313 | INFO | output_dir: .
2026-02-05 16:50:36,314 | INFO | num_epochs: 50
2026-02-05 16:50:36,314 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 16:50:36,314 | INFO | ================================
2026-02-05 17:01:34,728 | INFO | ======== Training setup ========
2026-02-05 17:01:34,728 | INFO | output_dir: .
2026-02-05 17:01:34,728 | INFO | num_epochs: 50
2026-02-05 17:01:34,728 | INFO | grad_accum_steps (from accelerate): 1
2026-02-05 17:01:34,728 | INFO | ================================
